Kode,Level,Uraian,UraianPath,SearchText,parent_kode,grandparent_kode
000,primer,umum,000: umum,umum,,
000.1,sekunder,ketatausahaan dan kerumahtanggaan,000: umum > 000.1: ketatausahaan dan kerumahtanggaan,umum ketatausahaan dan kerumahtanggaan,000,
000.1.1,tersier,telekomunikasi,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.1: telekomunikasi,umum ketatausahaan dan kerumahtanggaan telekomunikasi,000.1,000
000.1.2,tersier,perjalanan dinas dalam negeri,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.2: perjalanan dinas dalam negeri,umum ketatausahaan dan kerumahtanggaan perjalanan dinas dalam negeri,000.1,000
000.1.2.1,kuartier,perjalanan dinas kepala daerah,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.2: perjalanan dinas dalam negeri > 000.1.2.1: perjalanan dinas kepala daerah,umum ketatausahaan dan kerumahtanggaan perjalanan dinas dalam negeri perjalanan dinas kepala daerah,000.1.2,000.1
000.1.2.2,kuartier,perjalanan dinas dprd,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.2: perjalanan dinas dalam negeri > 000.1.2.2: perjalanan dinas dprd,umum ketatausahaan dan kerumahtanggaan perjalanan dinas dalam negeri perjalanan dinas dprd,000.1.2,000.1
000.1.2.3,kuartier,perjalanan dinas pegawai,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.2: perjalanan dinas dalam negeri > 000.1.2.3: perjalanan dinas pegawai,umum ketatausahaan dan kerumahtanggaan perjalanan dinas dalam negeri perjalanan dinas pegawai,000.1.2,000.1
000.1.3,tersier,perjalanan dinas luar negeri,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.3: perjalanan dinas luar negeri,umum ketatausahaan dan kerumahtanggaan perjalanan dinas luar negeri,000.1,000
000.1.3.1,kuartier,perjalanan dinas kepala daerah,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.3: perjalanan dinas luar negeri > 000.1.3.1: perjalanan dinas kepala daerah,umum ketatausahaan dan kerumahtanggaan perjalanan dinas luar negeri perjalanan dinas kepala daerah,000.1.3,000.1
000.1.3.2,kuartier,perjalanan dinas dprd,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.3: perjalanan dinas luar negeri > 000.1.3.2: perjalanan dinas dprd,umum ketatausahaan dan kerumahtanggaan perjalanan dinas luar negeri perjalanan dinas dprd,000.1.3,000.1
000.1.3.3,kuartier,perjalanan dinas pegawai,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.3: perjalanan dinas luar negeri > 000.1.3.3: perjalanan dinas pegawai,umum ketatausahaan dan kerumahtanggaan perjalanan dinas luar negeri perjalanan dinas pegawai,000.1.3,000.1
